Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE14323GSM358183	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358183 sample	P-G14323-4	GSE14323GSM358183 extract	total_RNA	P-G14323-3	GSE14323GSM358183 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 28	A-AFFY-37	P-AFFY-6	GSM358183.CEL	GSM358183.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358122	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358122 sample	P-G14323-4	GSE14323GSM358122 extract	total_RNA	P-G14323-3	GSE14323GSM358122 LE biotin	biotin	synthetic_RNA	HCC, biological rep 15	A-AFFY-37	P-AFFY-6	GSM358122.CEL	GSM358122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358136	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358136 sample	P-G14323-4	GSE14323GSM358136 extract	total_RNA	P-G14323-3	GSE14323GSM358136 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 3	A-AFFY-37	P-AFFY-6	GSM358136.CEL	GSM358136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358155	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358155 sample	P-G14323-4	GSE14323GSM358155 extract	total_RNA	P-G14323-3	GSE14323GSM358155 LE biotin	biotin	synthetic_RNA	HCC, biological rep 34	A-AFFY-37	P-AFFY-6	GSM358155.CEL	GSM358155.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358135	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358135 sample	P-G14323-4	GSE14323GSM358135 extract	total_RNA	P-G14323-3	GSE14323GSM358135 LE biotin	biotin	synthetic_RNA	HCC, biological rep 25	A-AFFY-37	P-AFFY-6	GSM358135.CEL	GSM358135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358207	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358207 sample	P-G14323-4	GSE14323GSM358207 extract	total_RNA	P-G14323-3	GSE14323GSM358207 LE biotin	biotin	synthetic_RNA	HCC, biological rep 47	A-AFFY-37	P-AFFY-6	GSM358207.CEL	GSM358207.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358160	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358160 sample	P-G14323-4	GSE14323GSM358160 extract	total_RNA	P-G14323-3	GSE14323GSM358160 LE biotin	biotin	synthetic_RNA	HCC, biological rep 37	A-AFFY-37	P-AFFY-6	GSM358160.CEL	GSM358160.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358217	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Normal liver tissue:  Gene expression using RMA method. Tissue: Normal	Tissue: Normal	Normal liver tissue	P-G14323-1	P-G14323-2	GSE14323GSM358217 sample	P-G14323-4	GSE14323GSM358217 extract	total_RNA	P-G14323-3	GSE14323GSM358217 LE biotin	biotin	synthetic_RNA	Normal, biological rep 9	A-AFFY-37	P-AFFY-6	GSM358217.CEL	GSM358217.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358112	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358112 sample	P-G14323-4	GSE14323GSM358112 extract	total_RNA	P-G14323-3	GSE14323GSM358112 LE biotin	biotin	synthetic_RNA	HCC, biological rep 10	A-AFFY-37	P-AFFY-6	GSM358112.CEL	GSM358112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358110	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358110 sample	P-G14323-4	GSE14323GSM358110 extract	total_RNA	P-G14323-3	GSE14323GSM358110 LE biotin	biotin	synthetic_RNA	HCC, biological rep 8	A-AFFY-37	P-AFFY-6	GSM358110.CEL	GSM358110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358131	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358131 sample	P-G14323-4	GSE14323GSM358131 extract	total_RNA	P-G14323-3	GSE14323GSM358131 LE biotin	biotin	synthetic_RNA	HCC, biological rep 21	A-AFFY-37	P-AFFY-6	GSM358131.CEL	GSM358131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358126	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosisHCC:  Gene expression using RMA method. Tissue: cirrhosisHCC	Tissue: cirrhosisHCC	liver tissue with cirrhosisHCC	P-G14323-1	P-G14323-2	GSE14323GSM358126 sample	P-G14323-4	GSE14323GSM358126 extract	total_RNA	P-G14323-3	GSE14323GSM358126 LE biotin	biotin	synthetic_RNA	cirrhosisHCC, match HCC rep 16	A-AFFY-37	P-AFFY-6	GSM358126.CEL	GSM358126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358175	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358175 sample	P-G14323-4	GSE14323GSM358175 extract	total_RNA	P-G14323-3	GSE14323GSM358175 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 20	A-AFFY-37	P-AFFY-6	GSM358175.CEL	GSM358175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358206	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358206 sample	P-G14323-4	GSE14323GSM358206 extract	total_RNA	P-G14323-3	GSE14323GSM358206 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 39	A-AFFY-37	P-AFFY-6	GSM358206.CEL	GSM358206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358174	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosisHCC:  Gene expression using RMA method. Tissue: cirrhosisHCC	Tissue: cirrhosisHCC	liver tissue with cirrhosisHCC	P-G14323-1	P-G14323-2	GSE14323GSM358174 sample	P-G14323-4	GSE14323GSM358174 extract	total_RNA	P-G14323-3	GSE14323GSM358174 LE biotin	biotin	synthetic_RNA	cirrhosisHCC, match HCC rep 40	A-AFFY-37	P-AFFY-6	GSM358174.CEL	GSM358174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358185	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358185 sample	P-G14323-4	GSE14323GSM358185 extract	total_RNA	P-G14323-3	GSE14323GSM358185 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 30	A-AFFY-37	P-AFFY-6	GSM358185.CEL	GSM358185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358132	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358132 sample	P-G14323-4	GSE14323GSM358132 extract	total_RNA	P-G14323-3	GSE14323GSM358132 LE biotin	biotin	synthetic_RNA	HCC, biological rep 22	A-AFFY-37	P-AFFY-6	GSM358132.CEL	GSM358132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358116	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosisHCC:  Gene expression using RMA method. Tissue: cirrhosisHCC	Tissue: cirrhosisHCC	liver tissue with cirrhosisHCC	P-G14323-1	P-G14323-2	GSE14323GSM358116 sample	P-G14323-4	GSE14323GSM358116 extract	total_RNA	P-G14323-3	GSE14323GSM358116 LE biotin	biotin	synthetic_RNA	cirrhosisHCC, match HCC rep 12	A-AFFY-37	P-AFFY-6	GSM358116.CEL	GSM358116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358202	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosisHCC:  Gene expression using RMA method. Tissue: cirrhosisHCC	Tissue: cirrhosisHCC	liver tissue with cirrhosisHCC	P-G14323-1	P-G14323-2	GSE14323GSM358202 sample	P-G14323-4	GSE14323GSM358202 extract	total_RNA	P-G14323-3	GSE14323GSM358202 LE biotin	biotin	synthetic_RNA	cirrhosisHCC, biological rep 2	A-AFFY-37	P-AFFY-6	GSM358202.CEL	GSM358202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358214	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Normal liver tissue:  Gene expression using RMA method. Tissue: Normal	Tissue: Normal	Normal liver tissue	P-G14323-1	P-G14323-2	GSE14323GSM358214 sample	P-G14323-4	GSE14323GSM358214 extract	total_RNA	P-G14323-3	GSE14323GSM358214 LE biotin	biotin	synthetic_RNA	Normal, biological rep 6	A-AFFY-37	P-AFFY-6	GSM358214.CEL	GSM358214.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358133	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358133 sample	P-G14323-4	GSE14323GSM358133 extract	total_RNA	P-G14323-3	GSE14323GSM358133 LE biotin	biotin	synthetic_RNA	HCC, biological rep 23	A-AFFY-37	P-AFFY-6	GSM358133.CEL	GSM358133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358166	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosisHCC:  Gene expression using RMA method. Tissue: cirrhosisHCC	Tissue: cirrhosisHCC	liver tissue with cirrhosisHCC	P-G14323-1	P-G14323-2	GSE14323GSM358166 sample	P-G14323-4	GSE14323GSM358166 extract	total_RNA	P-G14323-3	GSE14323GSM358166 LE biotin	biotin	synthetic_RNA	cirrhosisHCC, biological rep 1	A-AFFY-37	P-AFFY-6	GSM358166.CEL	GSM358166.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
